city,level,population,households,school,college,hospital,doctors,clinic,dentist,restaurant,fast_food,supermarket,convenience,park,platform,station
札幌市,7,1959512,1096729,410,59,184,472,63,485,1085,274,292,960,2458,3709,75
函館市,7,244431,140081,91,2,36,12,4,7,154,43,40,93,202,86,3
小樽市,7,108548,61411,40,0,9,6,3,13,140,10,15,43,79,126,7
旭川市,7,324186,177697,103,2,12,15,5,6,120,53,51,97,425,1133,16
室蘭市,7,78252,44147,33,0,8,20,1,13,93,12,11,44,163,346,8
釧路市,7,160483,92919,57,3,15,6,1,7,54,20,33,56,256,105,7
帯広市,7,164014,89966,75,1,6,4,1,1,32,5,15,24,248,4,3
北見市,7,113036,61725,48,11,13,25,8,21,72,20,25,68,247,611,10
夕張市,7,6729,4051,4,0,0,0,0,0,6,0,2,6,10,3,2
岩見沢市,7,76753,41021,31,1,3,5,7,4,55,10,10,48,144,16,6
網走市,7,33444,18061,20,0,5,3,0,1,25,6,5,20,38,8,6
留萌市,7,19234,10909,12,0,1,0,0,0,16,3,3,5,47,5,0
苫小牧市,7,168299,90867,50,0,9,7,12,5,40,6,12,69,232,181,7
稚内市,7,31644,17321,25,0,3,4,4,7,65,17,9,24,20,75,4
美唄市,7,19500,10941,10,0,4,0,1,4,5,0,3,7,19,0,4
芦別市,7,11976,6974,8,1,4,0,1,1,11,1,2,6,47,3,3
江別市,7,119169,59389,36,0,4,5,9,13,40,22,18,53,184,402,5
赤平市,7,9008,5458,1,0,1,0,0,0,1,0,1,0,26,1,3
紋別市,7,20618,11658,12,0,1,1,1,0,1,3,2,5,17,0,0
士別市,7,17283,8985,12,0,1,1,2,2,13,0,4,9,54,2,3
名寄市,7,26020,14183,15,0,2,0,0,0,4,3,3,5,32,44,6
三笠市,7,7722,4564,5,0,2,0,0,0,6,0,1,6,28,1,0
根室市,7,23546,12151,18,0,2,1,0,0,7,2,3,15,18,2,7
千歳市,7,97664,51563,27,1,7,32,0,43,45,25,11,55,184,12,4
滝川市,7,38062,20983,13,1,1,0,0,0,5,2,5,4,56,4,3
砂川市,7,15909,8610,8,0,3,1,0,0,2,0,2,7,32,3,2
歌志内市,7,2790,1714,1,0,0,0,0,0,0,1,0,1,3,0,0
深川市,7,19161,10490,11,1,1,0,0,0,4,0,2,2,71,8,3
富良野市,7,20223,10513,15,0,1,0,1,1,41,3,4,9,36,84,2
登別市,7,45226,24132,16,0,2,3,1,0,24,3,7,15,82,120,3
恵庭市,7,70179,34881,16,1,2,2,1,0,24,4,7,15,98,11,4
北広島市,7,57351,28198,23,0,3,7,1,5,12,5,7,25,115,194,1
石狩市,7,57954,28460,20,0,1,2,1,1,21,0,6,23,99,285,0
